cousin,morden,25
sally,martin,25
nurse,prejudice,25
norton,prejudice,25
mother,child,24
justice,justice,24
town,soul,24
lady,time,24
sarah,lady,24
living,living,24
fortune,fortune,24
belford,lady,24
nancy,nancy,24
heaven,heaven,24
child,mother,24
letter,lady,23
lady,way,23
cause,cause,23
captain,lady,23
lady,day,23
subject,subject,23
company,company,23
dear,dear,23
anna,anna,23
dolly,dolly,23
bella,bella,23
lewen,lewen,23
lady,honour,22
lovelace,sister,22
account,account,22
biddulph,biddulph,22
estate,estate,22
gentlewoman,gentlewoman,22
gouty,goody,22
gouty,moore,22
mother,lovelace,22
lovelace,father,22
lady,hand,22
favour,favour,22
rowland,wife,22
apothecary,lady,22
sister,uncle,22
master,master,21
reason,reason,21
day,day,21
lovelace,time,21
robert,robert,21
greme,greme,21
letter,friend,21
howe,hickman,21
visit,visit,21
miss,montague,21
mother,reason,21
wench,wench,21
lady,heart,21
friend,letter,21
her,her,21
colonel,cousin,21
belford,letter,20
harlowe,family,20
brother,uncle,20
pritchard,pritchard,20
mine,mine,20
lovelace,harlowe,20
proposal,proposal,20
soul,town,20
way,way,20
morrow,morrow,20
ladyship,ladyship,20
resolution,resolution,20
letter,miss,20
miss,hickman,20
servant,kin,20
note,kin,20
cause,kin,20
mother,family,20
conscience,conscience,20
lady,sarah,20
sense,sense,20
aunt,lovelace,20
m,lady,20
charlotte,cousin,20
kinswoman,kinswoman,20
rowland,apothecary,20
miss,sorlings,20
sorlings,miss,20
nymph,nymph,19
belford,miss,19
passion,passion,19
harlowe,father,19
mamma,mamma,19
prudence,prudence,19
captain,uncle,19
fellow,lady,19
harlowe,letter,19
something,something,19
friend,lady,19
brother,father,19
harry,harry,19
mother,uncle,19
m,lovelace,19
peer,peer,19
felicity,felicity,19
belford,howe,19
joel,joel,19
enemy,enemy,18
brother,thing,18
arabella,arabella,18
collins,collins,18
conversation,conversation,18
life,life,18
miss,nothing,18
lady,account,18
line,line,18
montague,miss,18
father,brother,18
brother,family,18
father,child,18
uncle,mother,18
family,lovelace,18
crisis,crisis,18
scholar,smith,18
virtue,injury,18
cousin,pritchard,18
charlotte,pritchard,18
my,my,17
intelligence,intelligence,17
howe,mother,17
merit,merit,17
men,wife,17
lady,creature,17
law,law,17
mean,mean,17
lovelace,house,17
spouse,spouse,17
view,view,17
his,his,17
lady,sister,17
lady,lord,17
quality,quality,17
lovelace,word,17
betty,letter,17
captain,father,17
point,point,17
lovelace,honour,17
state,state,17
letter,lovelace,17
miss,thing,17
lovelace,account,17
lady,word,17
lady,virtue,17
polly,sally,17
parson,parson,17
sister,heart,17
lady,niceness,17
antony,sister,17
virtue,lady,17
nurse,norton,17
norton,nurse,17
howe,part,16
father,daughter,16
contrivance,contrivance,16
jack,lady,16
freedom,freedom,16
hereupon,hereupon,16
leman,leman,16
miss,matter,16
present,present,16
lady,protection,16
evil,evil,16
madam,mother,16
uncle,lovelace,16
madam,lovelace,16
lovelace,uncle,16
lovelace,mother,16
miss,visit,16
lovelace,world,16
tomlinson,father,16
uncle,letter,16
pen,pen,16
dearest,dearest,16
kind,kind,16
howe,lovelace,16
lady,reason,16
smith,lovick,16
virtue,turn,16
miss,part,15
lady,part,15
affair,affair,15
harlowe,sister,15
lover,lover,15
lovelace,clarissa,15
side,side,15
joseph,leman,15
nature,nature,15
thou,art,15
mother,heart,15
methinks,methinks,15
lady,nothing,15
room,room,15
james,nephew,15
lady,uncle,15
