letter,belford,13
squire,solmes,13
solmes,squire,13
clergyman,clergyman,13
hannah,lady,13
lovelace,others,13
proselyte,proselyte,13
miss,sister,12
colonel,hand,12
manner,manner,12
year,year,12
lady,lord,12
lady,m,12
lord,thing,12
merit,merit,12
light,light,12
father,child,12
miss,matter,12
lord,my,12
miss,way,12
altho,lovelace,12
joy,joy,12
generosity,generosity,12
rake,rake,12
horton,horton,12
charlotte,lady,12
lady,relation,12
situation,situation,12
lady,occasion,12
aunt,miss,12
miss,family,12
sinclair,sally,12
command,command,12
rascal,rascal,12
uncle,thing,12
figure,figure,12
lodging,lodging,12
morrow,morrow,12
thomasine,thomasine,12
harlowe,friend,12
thou,lovelace,12
dolly,lovelace,12
arabella,uncle,12
rowland,lady,12
squire,captain,12
solmes,captain,12
lovick,office,12
child,mamma,12
mother,letter,12
uncle,oliver,12
madam,lovelace,12
montague,miss,12
esq,uncle,12
sister,uncle,12
tragedy,audience,12
offer,offer,12
dorcas,protection,12
disgrace,disgrace,12
husband,one,12
charlotte,patty,12
sister,patty,12
kitty,kitty,12
mother,eye,12
miss,visit,11
howe,belford,11
brother,passion,11
miss,time,11
lord,letter,11
contrivance,contrivance,11
fellow,lady,11
miss,betty,11
lord,mercy,11
office,office,11
collins,collins,11
miss,person,11
belford,howe,11
lady,account,11
lady,street,11
harlowe,reason,11
harlowe,reconciliation,11
friend,letter,11
correspondence,correspondence,11
one,lady,11
motion,motion,11
lovelace,world,11
dorcas,paper,11
lady,fellow,11
order,order,11
health,health,11
somebody,somebody,11
loveace,loveace,11
composure,composure,11
cousin,howe,11
kinsman,kinsman,11
poet,poet,11
aunt,solmes,11
brother,solmes,11
thou,virtue,11
minister,minister,11
sally,polly,11
col,col,11
lewen,lewen,11
praise,praise,11
lovelace,sister,11
lovelace,harlowe,11
howe,part,11
mamma,uncle,11
m,antony,11
solmes,brother,11
uncle,niece,11
brother,door,11
betty,thing,11
cousin,james,11
caesar,caesar,11
persecution,persecution,11
lovick,doctor,11
tenant,tenant,11
anna,anna,11
sister,reason,11
polly,sally,11
uncle,esq,11
esq,john,11
esq,harlowe,11
letter,harlowe,11
arabella,antony,11
cast,cast,11
letter,heart,11
mamma,child,11
mabell,mabell,11
error,captain,11
error,tomlinson,11
wife,rowland,11
mowbray,gentleman,11
the,dorcas,11
lovelace,person,10
howe,mother,10
howe,sister,10
tender,tender,10
thyself,thyself,10
opportunity,opportunity,10
betty,letter,10
lady,heart,10
mamma,letter,10
lady,harlowe,10
settlement,settlement,10
lady,character,10
lady,inn,10
sinclair,miss,10
lady,virtue,10
nay,nay,10
goddess,goddess,10
miss,story,10
delicacy,delicacy,10
lady,one,10
sister,heart,10
this,this,10
lordship,lady,10
lovelace,cousin,10
lady,home,10
family,lovelace,10
friend,wife,10
uncle,letter,10
pair,pair,10
chamber,chamber,10
sufferer,sufferer,10
wouldst,wouldst,10
brother,occasion,10
solmes,uncle,10
lovick,letter,10
arabella,arabella,10
antony,harlowe,10
nature,nature,10
hint,hint,10
voice,voice,10
lady,fault,10
joseph,betty,10
leman,joseph,10
lovelace,subject,10
servant,letter,10
lady,loom,10
captain,uncle,10
